,Compound,Negative,Neutral,Positive,Tweet Order,Tweet Text,Tweet Time,User
42,0.2732,0.0,0.89,0.11,58,"🕺🎙 'Tom Daley was an Elvis impersonator - with his dad'

10 surprising things we learned from @TomDaley1994’s… https://t.co/NGQAEEJWdl",Wed Oct 03 11:01:02 +0000 2018,@BBC
43,-0.5574,0.247,0.753,0.0,57,"19-year-old rapper Kitch has a stutter when he speaks - but when he performs, it usually disappears. https://t.co/tVXhIeAwEg",Wed Oct 03 08:02:04 +0000 2018,@BBC
44,0.0,0.0,1.0,0.0,56,"RT @BBCRadio2: 🥁Drumroll please!🥁

Our brand new Breakfast Show host is @ZoeTheBall! 👏

https://t.co/th597DBxQI https://t.co/dbfQgMsuHO",Wed Oct 03 08:01:24 +0000 2018,@BBC
45,-0.6124,0.192,0.808,0.0,55,"🐧 A zoo has been forced to fill its new penguin exhibit with models, as a shortage of birds means it is unable to g… https://t.co/BmSAy8zQJP",Wed Oct 03 07:04:08 +0000 2018,@BBC
46,0.0,0.0,1.0,0.0,54,"""Oh, I'm so sorry,"" and other things not to say to amputees. 
(via @BBCThree) https://t.co/L8eiOleNyi",Wed Oct 03 06:08:02 +0000 2018,@BBC
47,0.0,0.0,1.0,0.0,53,"Discover the extraordinary story of how a small Scottish bank grew to briefly become the biggest in the world, befo… https://t.co/OQpgOJ7edi",Tue Oct 02 19:02:07 +0000 2018,@BBC
48,-0.802,0.427,0.573,0.0,52,Knife crime is up 22%. Who are the victims and what’s to blame? https://t.co/ZEAml31p9m,Tue Oct 02 17:55:03 +0000 2018,@BBC
49,0.4019,0.0,0.803,0.197,51,"The gender reveal party that sparked a massive 47,000 acre wildfire. 
👉 https://t.co/b0Xc17AuK5 https://t.co/ROh8TOMH7K",Tue Oct 02 17:06:06 +0000 2018,@BBC
50,0.5574,0.0,0.816,0.184,50,"In 2002, Iberian Lynx were the rarest cats in the world. But then something remarkable happened... https://t.co/iEVCaSDvjN",Tue Oct 02 16:06:02 +0000 2018,@BBC
51,-0.2732,0.242,0.554,0.204,49,Two scientists who discovered how to fight cancer using the body's immune system have won the 2018 #NobelPrize for… https://t.co/fIj6Ly7Z3u,Tue Oct 02 14:06:04 +0000 2018,@BBC
52,0.5994,0.0,0.795,0.205,48,"🍲😋 A bowl of warm, hearty stew is always a welcome sight on a cold day.

From a classic beef stew to a vegetarian h… https://t.co/1X1qdk14Oh",Tue Oct 02 13:05:03 +0000 2018,@BBC
53,0.0,0.0,1.0,0.0,47,"Jodie Whittaker. New Doctor...and a 'Shat Lass'.
#TheGNShow #DoctorWho https://t.co/25HwEbjAfn",Tue Oct 02 12:05:04 +0000 2018,@BBC
54,0.5719,0.0,0.829,0.171,46,"Donna Strickland has become the first woman to have won the #NobelPrize in Physics in 55 years. 
👉… https://t.co/hGIojnR1W0",Tue Oct 02 10:47:27 +0000 2018,@BBC
55,0.0,0.0,1.0,0.0,45,"RT @BBCSport: SPOTY is back - and there are some big changes.

The BBC Sports Personality of the Year 2018 contenders will be revealed on t…",Tue Oct 02 10:27:17 +0000 2018,@BBC
56,0.6696,0.0,0.728,0.272,44,"❤️💃🏻 Ballet is still the love of Joyce's life at 98-years-old! 
#WorldBalletDay https://t.co/nzr3Jy1wbS",Tue Oct 02 10:16:58 +0000 2018,@BBC
57,-0.6705,0.231,0.769,0.0,43,"Over 300,000 marine animals are killed after becoming entangled in fishing gear every year. 
#DrowningInPlastic… https://t.co/WmFqGMo8Es",Tue Oct 02 09:22:00 +0000 2018,@BBC
58,0.0,0.0,1.0,0.0,42,RT @bbccomedy: ‘There She Goes’ starring @JefficaHoons and David Tennant comes to @BBCFOUR on October 16th. https://t.co/tH37Wg5TBC,Tue Oct 02 09:10:44 +0000 2018,@BBC
59,-0.7964,0.321,0.679,0.0,41,"In January 1918, the Spanish flu swept the world and killed more people than WW1. 
#TheFluThatKilled50Million https://t.co/WinYKnWfSA",Tue Oct 02 08:00:09 +0000 2018,@BBC
60,0.0,0.0,1.0,0.0,40,"👛 Do you know where your tips go? 

A guide to how tipping works in restaurants.
👉 https://t.co/CNU4t3iogG https://t.co/7dcsckQwcG",Tue Oct 02 07:05:06 +0000 2018,@BBC
61,-0.6486,0.202,0.798,0.0,39,"More than half of the world's killer whales could be wiped out by man-made chemicals, scientists say.  https://t.co/w1SaxVchyO",Tue Oct 02 06:09:05 +0000 2018,@BBC
62,-0.128,0.081,0.919,0.0,38,Wildlife biologist @LizBonnin visits scientists working at the cutting edge of plastics research. She works with le… https://t.co/rSc4ZR9MEX,Mon Oct 01 19:00:01 +0000 2018,@BBC
63,0.0,0.0,1.0,0.0,37,"A 19-year-old university student has described his photograph of a white fallow buck sneezing as a ""one-in-a-millio… https://t.co/A1q3ZEIz2z",Mon Oct 01 17:16:04 +0000 2018,@BBC
64,0.7506,0.0,0.738,0.262,36,"RT @BBCFood: 🥕 It's World Vegetarian Day and we're celebrating all things veggie. Whether you're looking for a quick lunch, a healthy trayb…",Mon Oct 01 16:05:44 +0000 2018,@BBC
65,0.0,0.0,1.0,0.0,35,"RT @CBeebiesHQ: Cuddle up cheek to cheek!

Sharon D. Clarke is back for tonight's #BedtimeStory 😴📚

The biographical tale of Ella Fitzgeral…",Mon Oct 01 15:48:02 +0000 2018,@BBC
66,0.0,0.0,1.0,0.0,34,These scientists have found plastic in every area of the Arctic; there are about 225 trillion particles in the whol… https://t.co/UoKtCXow1b,Mon Oct 01 15:00:02 +0000 2018,@BBC
67,0.0,0.0,1.0,0.0,33,"An Astrophysicist? A World Traveller? CEO of the British Library? 🔭📚🤷

Illustrator Sir Quentin Blake has reimagined… https://t.co/PqXhCcoHH9",Mon Oct 01 14:01:07 +0000 2018,@BBC
68,0.0,0.0,1.0,0.0,32,"RT @bbcgetinspired: 'I'm a Muslim woman, I'm visually-impaired and I'm a boxer' 🥊🥊 #GetInspired 

https://t.co/zJorjZokVM",Mon Oct 01 13:04:26 +0000 2018,@BBC
69,0.7456,0.0,0.689,0.311,31,"🎶🌟@LadyGaga and Jodie Whittaker playing the #DoctorWho theme tune on the theremin is AMAZING. #TheGNShow

https://t.co/PEwaE9tzNH",Mon Oct 01 13:03:06 +0000 2018,@BBC
70,0.128,0.166,0.642,0.193,30,"😂😃😐 Can you spot a fake laugh? 

Take this quiz to find out. 👉 https://t.co/LAFjV5ggf7 https://t.co/sFjlLRwzQK",Mon Oct 01 12:33:03 +0000 2018,@BBC
71,-0.5574,0.205,0.795,0.0,29,"Geoffrey Hayes, who hosted long-running children's TV show, Rainbow, has died aged 76.
👉 https://t.co/10XDMpYCiz https://t.co/vPs5odJKqy",Mon Oct 01 12:08:21 +0000 2018,@BBC
72,0.7003,0.0,0.655,0.345,28,"This Amazing Human uses coffee to give homeless people a second chance. ☕️💛#InternationalCoffeeDay

https://t.co/wOc1ce2B3J",Mon Oct 01 11:03:02 +0000 2018,@BBC
73,0.3818,0.134,0.591,0.274,27,"Turns out it's *quite* difficult to keep a straight face while testing laughing gas...

https://t.co/nFlgKY7NuY",Mon Oct 01 10:03:06 +0000 2018,@BBC
74,-0.7351,0.237,0.763,0.0,26,RT @BBCRadio4: We conducted the world's largest survey on loneliness and discovered that 16-24 year olds are the loneliest age group. Read…,Mon Oct 01 09:46:54 +0000 2018,@BBC
75,0.0,0.0,1.0,0.0,25,"We cannot WAIT for the new Doctor Who series! @bbcdoctorwho #TheGNShow

https://t.co/BkxpymO5Be",Mon Oct 01 09:04:02 +0000 2018,@BBC
76,0.7845,0.0,0.734,0.266,24,"Start your Monday the right way. Watch Tom Hardy explain to a child why we should love all things equally. 💔😭

https://t.co/646n5wwjvL",Mon Oct 01 08:02:02 +0000 2018,@BBC
77,-0.7845,0.434,0.566,0.0,23,Persistent chemical pollution threatens the future of killer whales. 💔 https://t.co/wJJIQj8WLK https://t.co/saSP4leLjt,Mon Oct 01 07:32:01 +0000 2018,@BBC
78,-0.872,0.398,0.602,0.0,22,"Last year @higeorgeshelley's sister died in an accident. 

He opens up about grief and how to cope.

https://t.co/4SajjiJI6e",Mon Oct 01 07:03:05 +0000 2018,@BBC
79,0.4753,0.0,0.843,0.157,21,"RT @BBCOne: “I see women out with their babies walking around like it’s nothing… I just want to yell out at them, “You’re amazing!” @Jenna_…",Sun Sep 30 20:21:03 +0000 2018,@BBC
80,0.6239,0.0,0.687,0.313,20,RT @bbcstrictly: Wow. #Strictly Movie Week looks wand-erful! 🧙‍♂️✨ https://t.co/3Iko29h06s,Sun Sep 30 19:39:53 +0000 2018,@BBC
81,0.0,0.0,1.0,0.0,19,"A mother’s life disintegrates while the world looks on. 

#TheCry | 9pm | @BBCOne | https://t.co/hDRdVsMamq https://t.co/2SrLnoKGLi",Sun Sep 30 19:03:02 +0000 2018,@BBC
82,0.0,0.0,1.0,0.0,18,Tonight it's the first @BBCStrictly results show! Find out which couples have made it through and which two will be… https://t.co/vytPpS8tTl,Sun Sep 30 17:16:03 +0000 2018,@BBC
83,0.5106,0.063,0.769,0.167,17,"RT @BBCOne: #TheCry ""is the perfect replacement for #Bodyguard, a twisting, turning whodunit that leaves you questioning everybody."" The Te…",Sun Sep 30 16:22:42 +0000 2018,@BBC
84,0.4574,0.0,0.875,0.125,16,"RT @BBCOne: To mark 30 years in music, we’re making a @takethat documentary special and WE NEED YOU! 

Head to https://t.co/WiKSYB8coP to s…",Sun Sep 30 16:22:25 +0000 2018,@BBC
85,0.0,0.113,0.773,0.113,15,"🕺✨ @Joe_Sugg says he worried that he was the 'joke act' in this year's #Strictly. 

https://t.co/FmKBnEJeoX https://t.co/O1GfHHBJud",Sun Sep 30 16:01:09 +0000 2018,@BBC
86,0.0,0.0,1.0,0.0,14,"This is the incredible story of how London dug the Victoria Line! 🚇

https://t.co/F8MsetBclS",Sun Sep 30 15:03:03 +0000 2018,@BBC
87,-0.296,0.099,0.901,0.0,13,"In Japan, 'aki no koe' refers to autumn's voice, which incorporates all the sounds of the season: the wind rustling… https://t.co/2fynWfK1Wu",Sun Sep 30 14:02:04 +0000 2018,@BBC
88,0.0,0.0,1.0,0.0,12,"""Dyslexia tries to kick my butt daily - but I won't let it beat me"". 

https://t.co/EmtRJC2V5G",Sun Sep 30 13:06:04 +0000 2018,@BBC
89,0.0,0.0,1.0,0.0,11,Kanye West is changing his name... to Ye. https://t.co/TMRrrzJuKX https://t.co/0ZkgnEbFkA,Sun Sep 30 12:44:04 +0000 2018,@BBC
90,0.0,0.0,1.0,0.0,10,The lush green mosses of East Antarctica are finally succumbing to climate change. 💔 https://t.co/z7j8jcx6TO https://t.co/r7C9gypVhC,Sun Sep 30 12:31:04 +0000 2018,@BBC
91,0.1531,0.0,0.873,0.127,9,"Going on a night out can be challenging when you're a wheelchair user. 

https://t.co/YvvQ1SnosW",Sun Sep 30 11:02:01 +0000 2018,@BBC
92,-0.7783,0.274,0.726,0.0,8,"This is disgusting. 😔

The Citarum River in Indonesia is one of the dirtiest rivers in the world. 

Plastic polluti… https://t.co/F6z2NpXseT",Sun Sep 30 10:00:00 +0000 2018,@BBC
93,0.0,0.0,1.0,0.0,7,"🐻 Say hello to Kyra the sun bear... 

https://t.co/UvDxsG3QO1",Sun Sep 30 09:04:02 +0000 2018,@BBC
94,-0.5994,0.302,0.698,0.0,6,RT @BBCWorld: Indonesia quake death toll 'at least 832' https://t.co/1VCcXxRrR4,Sun Sep 30 08:30:16 +0000 2018,@BBC
95,0.0,0.124,0.752,0.124,5,"For children with autism, the stress of taking photos can be overwhelming. To make things easier, eight-year-old Le… https://t.co/U3hpweRK0D",Sun Sep 30 07:31:05 +0000 2018,@BBC
96,0.5859,0.0,0.703,0.297,4,"This. Is. Amazing. 😮

Introducing the World Pole Climbing Championships...

https://t.co/osulkhFFhQ",Sun Sep 30 07:04:02 +0000 2018,@BBC
97,0.4215,0.0,0.743,0.257,3,Chile has launched a huge hiking route through its Patagonian wilderness. 🌲😍🏔  https://t.co/WFIcKZe5Hv https://t.co/RLKjTx2Emo,Sat Sep 29 20:32:03 +0000 2018,@BBC
98,0.4215,0.0,0.865,0.135,2,🐣😍 Conservationists have been monitoring the progress of rare Leach's storm petrel chicks on the remote Scottish ar… https://t.co/KzMHUIysAO,Sat Sep 29 17:02:12 +0000 2018,@BBC
99,-0.7003,0.293,0.707,0.0,1,"'My children bought back the car I sold to pay for wife's cancer treatment'. ❤️️🚘

https://t.co/xOJwzbgGlE https://t.co/Tx3WYCkCXu",Sat Sep 29 16:01:07 +0000 2018,@BBC
100,-0.3612,0.179,0.821,0.0,100,"RT @MadamSecretary: Worlds collide when former Secretaries of State @HillaryClinton, @madeleine, and Colin Powell stop by #MadamSecretary f…",Fri Oct 05 20:10:09 +0000 2018,@CBS
101,0.0,0.0,1.0,0.0,99,".@TheNeighborhood's @BethBehrs and @latelateshow may have come up with a new hit show called ""Naked Rabbi.""… https://t.co/KLsSlzgC0f",Fri Oct 05 19:23:53 +0000 2018,@CBS
102,-0.6808,0.189,0.811,0.0,98,"RT @FBICBS: When a killer's victim survives to tell the tale, it's up to the team to catch him before he kills again. 

The first SEVEN MIN…",Fri Oct 05 17:42:12 +0000 2018,@CBS
103,0.3612,0.0,0.828,0.172,97,But you know the CBS Fall TV that makes YOU smile. #WorldSmileDay https://t.co/JVOh5TlK0D,Fri Oct 05 16:45:23 +0000 2018,@CBS
104,0.4767,0.0,0.721,0.279,96,Not everyone smiles at the same shows #WorldSmileDay https://t.co/XFwNIFleXf,Fri Oct 05 16:45:22 +0000 2018,@CBS
105,0.3612,0.0,0.8,0.2,95,"And smile at shows that, you know, get you. #WorldSmileDay https://t.co/9JpmKkB7Ky",Fri Oct 05 16:45:22 +0000 2018,@CBS
106,0.6124,0.0,0.667,0.333,94,Smile at shows you’ve been meaning to smile at before #WorldSmileDay https://t.co/MWrtrX62BP,Fri Oct 05 16:45:21 +0000 2018,@CBS
107,0.7003,0.0,0.58,0.42,93,Get right back into smiling with your favorites #WorldSmileDay https://t.co/BohCiTymMO,Fri Oct 05 16:45:21 +0000 2018,@CBS
108,0.3612,0.0,0.737,0.263,92,Time to smile at new shows #WorldSmileDay https://t.co/n45SpVXuOq,Fri Oct 05 16:45:19 +0000 2018,@CBS
109,0.4199,0.0,0.715,0.285,91,Smile! CBS Fall TV is here. #WorldSmileDay https://t.co/QhmtAmJL0X,Fri Oct 05 16:45:19 +0000 2018,@CBS
110,0.0,0.0,1.0,0.0,90,"The Big Bang Theory.
Young Sheldon, Mom, Murphy Brown.
S.W.A.T. Watch them tonight.

#NationalPoetryDay",Thu Oct 04 17:17:46 +0000 2018,@CBS
111,-0.3875,0.226,0.774,0.0,89,@shygirlsue @Ranker And we couldn't be prouder of you.😊 https://t.co/Rt9bRkv32J,Thu Oct 04 00:34:37 +0000 2018,@CBS
112,0.0,0.0,1.0,0.0,88,@suferah_khan https://t.co/hkLN6VK6WI,Wed Oct 03 23:45:21 +0000 2018,@CBS
113,0.7906,0.0,0.682,0.318,87,.@Ranker is ranking the best CBS shows of all time. Did your favorites make the list? https://t.co/D3ZrfZK0Q9,Wed Oct 03 23:39:03 +0000 2018,@CBS
114,0.4939,0.0,0.849,0.151,86,".@CrimMinds_CBS returns tonight for its 300th episode. In honor of the milestone season premiere, the cast has a me… https://t.co/o9aKkBKKtw",Wed Oct 03 19:35:31 +0000 2018,@CBS
115,0.6956,0.0,0.69,0.31,85,".@wayansjr debuted his perfect impression of his father on @colbertlateshow but everybody, be cool, and don't tell… https://t.co/MWa9UNOORj",Wed Oct 03 17:05:20 +0000 2018,@CBS
116,0.8858,0.0,0.646,0.354,84,RT @CBSAllAccess: It's a great day to be a fan of #TheTwilightZone! We're celebrating the 59th anniversary of the classic series AND the of…,Tue Oct 02 21:25:29 +0000 2018,@CBS
117,0.0,0.0,1.0,0.0,83,"⚡️ “Happy Together Premieres on CBS”

https://t.co/W7IvELcMcw",Tue Oct 02 18:36:26 +0000 2018,@CBS
118,-0.4449,0.164,0.836,0.0,82,"@miamicah We don't know for sure about that, but we are sure that you should be some sort of TV detective. 🙂 https://t.co/uW5aSn7jlO",Tue Oct 02 17:52:53 +0000 2018,@CBS
119,0.0,0.0,1.0,0.0,81,"⚡️ “The Neighborhood Premieres on CBS”

https://t.co/R72l342BFE",Tue Oct 02 16:49:34 +0000 2018,@CBS
120,0.3182,0.0,0.881,0.119,80,"RT @startrekcbs: Discover the next adventure of #StarTrekDiscovery January 2019, and catch #Starfleet at @NY_Comic_Con THIS Saturday. https…",Tue Oct 02 02:42:23 +0000 2018,@CBS
121,0.765,0.0,0.708,0.292,79,The stars of @TheNeighborhood and @happytogether celebrated their shows' premieres on CBS tonight with a good old f… https://t.co/fu9SJzv7hZ,Tue Oct 02 01:10:54 +0000 2018,@CBS
122,0.0,0.0,1.0,0.0,78,"RT @TheNeighborhood: It's almost time! Our live Q&amp;A with the casts of #TheNeighborhood &amp; #HappyTogether is starting at 8pm ET/ 5pm PT. 

Se…",Tue Oct 02 00:01:07 +0000 2018,@CBS
123,0.0,0.0,1.0,0.0,77,Head over to the CBS Facebook page now for the #FacebookLive with @happytogether’s @wayansjr and @TheNeighborhood’s… https://t.co/37QOrVA1sh,Mon Oct 01 21:56:03 +0000 2018,@CBS
124,0.296,0.0,0.864,0.136,76,Join @happytogether's @wayansjr and @TheNeighborhood's @iamgreenfield for a Facebook Live TODAY at 5:45p ET/2:45 PT… https://t.co/klrx7cA41H,Mon Oct 01 16:33:11 +0000 2018,@CBS
125,-0.2263,0.091,0.909,0.0,75,"Due to #NFL football game overrun, #CBS Sunday lineup is delayed in East/Central time zones ONLY. New start times:… https://t.co/zmEn7CVlUi",Sun Sep 30 23:51:26 +0000 2018,@CBS
126,0.6124,0.0,0.81,0.19,74,The cast of @GodFriendedMe answers some heavenly questions about social media before the show premieres tonight aft… https://t.co/61Tx2GTn35,Sun Sep 30 17:00:00 +0000 2018,@CBS
127,0.0,0.0,1.0,0.0,73,RT @CBSAllAccess: Stream NFL on CBS LIVE today starting at 1pm ET on CBS All Access! 🏈 https://t.co/vsod8jYeZl https://t.co/UBp3R4UCAd,Sun Sep 30 14:34:18 +0000 2018,@CBS
128,0.0,0.0,1.0,0.0,72,"On @colbertlateshow, @TheNeighborhood's @CedEntertainer and Stephen recall the first time they met on a night when… https://t.co/vjz1zVg4sR",Fri Sep 28 22:22:01 +0000 2018,@CBS
129,0.0,0.0,1.0,0.0,71,".@happytogether's @wayansjr, @HereIsGina &amp; @latelateshow discuss the pros and cons of living with a pop star. Con:… https://t.co/PLXFxfheW7",Fri Sep 28 20:16:14 +0000 2018,@CBS
130,0.0,0.0,1.0,0.0,70,"If you haven't seen @SEALTeamCBS, make it your mission to know them before the #SEALTeam Season 2 premiere October… https://t.co/NhCPI3lZSV",Fri Sep 28 17:52:41 +0000 2018,@CBS
